#####################################################################
# Alchemist log file - simulation started at: 2024-02-26T16:24+0000 #
#####################################################################
#
# 
#
# The columns have the following meaning: 
# time TrainLoss[min] TrainLoss[max] TrainLoss[mean] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] 
29.0 2.849030094061344 1640.347533927476 55.9818638369769 2.160932099433254 1490.4409688313801 116.29273977868719
30.0 2.7977993389044187 1665.3038527118274 54.90576308444885 2.740514536126912 1431.6897481282551 113.60677906272376
31.0 3.0406938465310525 3037.9538634276587 73.56541986449447 2.5902983093594045 1437.4128799710954 122.6515045892208
32.0 2.824148786658061 2523.6578779614665 64.85318764398548 2.3503452908756923 1378.5934597696578 117.55950789770407
33.0 2.8438073522802116 3030.461247720009 66.29025658123427 2.7837039291483463 1287.423627281189 114.53960986695539
34.0 2.7886880412788493 2026.866056032417 58.01472461503704 2.502147863344323 1195.2808024088542 110.4818837136228
35.0 2.7442046526667223 1991.599669149099 55.268341650717204 2.1280791549373874 1162.5026346842449 108.16321314321623
36.0 2.9493257179334065 2882.3297304200732 71.22481875723005 2.4560578534071396 1634.175028483073 122.65745591594882
37.0 2.811302596640061 2866.068846931142 67.99232603254833 2.1674937158823013 1549.6587931315105 116.65591305418106
38.0 2.77496932069562 2695.3564880938575 63.72175915906934 2.500298723578453 1479.3333536783855 113.65862076053489
39.0 2.8915940931610393 2519.397756418906 61.26858230280428 2.1857580159047094 1410.0965372721355 110.9778786811951
40.0 2.80699256630786 2490.6155474323864 55.069805849394214 2.3123361063625314 1343.8464050292969 108.44331751996431
41.0 3.00184411982468 2214.9297882899764 65.8503072359169 2.2934819679144476 1479.9709357091358 118.51937937033834
42.0 2.9180125860989996 2357.8271466089673 63.03062419690141 2.088521960452735 1375.8093264205115 113.95165709969196
43.0 2.7149200368309745 2161.901595627966 58.10756666603002 2.2698376728690786 1100.8565493583678 108.98240163417245
44.0 2.7696228960653015 1994.936445315022 55.64695812634322 2.2579720022438243 1143.9785507202148 106.92902986854033
45.0 2.8282675703816995 2163.135110208811 56.06577251562766 2.2555396852197407 1268.905166070802 105.85296196024811
46.0 3.112718108093356 3070.8428789564405 67.06710668325212 2.242619072040208 1351.3431641714913 113.89562991311819
47.0 2.724417499131308 1879.4305950669216 57.614687110374014 2.283005615897316 1332.2956040212086 110.67850663540352
48.0 2.8189187443055608 3212.896731242661 63.23536825296587 2.256951925994681 1190.2870224237442 107.57355885871924
49.0 2.8449157048306017 3530.345032085072 69.234277645773 2.683750175743652 1135.817654463223 104.46920017031397
50.0 2.7179374344754215 2224.7822537540405 56.11780187457254 2.1415760317187513 1071.892675604139 102.80431842174364
51.0 2.9031315588883357 3049.862167027371 65.11314699965423 2.6587532062297887 1470.8587588139942 112.02753822839149
52.0 2.6558222500994044 1216.7047591406451 50.658225090439515 2.2381081447112474 1300.8506135497773 108.00214263325495
53.0 2.7348997456175947 2333.493091110356 55.434596368797436 2.1981816715393347 1209.2841844149998 105.3549659462651
54.0 2.7209333719432993 3068.045947863051 54.9349364074562 2.5652070144633594 1199.599411399024 103.01545018396179
55.0 2.7798388657098916 2651.708265872041 58.73014770537609 2.27652399228524 1143.0258897577014 102.25424107276936
56.0 2.9324016952045406 2700.382598183371 58.24804867504264 2.705733722652034 1401.9230867794581 109.78322442517648
